Associate – Foundations: exam code	CCAO-F	facts associate-foundations
Associate – Foundations: how many items	60 items	facts associate-foundations
Associate – Foundations: list fee before partner discount	$99	facts associate-foundations
Associate – Foundations: heaviest domain and its weight	Output evaluation at 21%	blueprint associate-foundations
Associate – Foundations: lightest domain and its weight	Troubleshooting at 10%	blueprint associate-foundations
Associate – Foundations: domains in weight order	Output evaluation 21% → Workflow integration 16% → Governance and risk 15% → Prompting 14% → Product and model choice 12% → Configuration 12% → Troubleshooting 10%	blueprint associate-foundations
Associate – Foundations: who is it for	Consultants, sellers, and delivery leads	facts associate-foundations
Developer – Foundations: exam code	CCDV-F	facts developer-foundations
Developer – Foundations: how many items	53 items	facts developer-foundations
Developer – Foundations: list fee before partner discount	$125	facts developer-foundations
Developer – Foundations: heaviest domain and its weight	Applications and integration at 33.1%	blueprint developer-foundations
Developer – Foundations: lightest domain and its weight	Eval, testing, and debugging at 2.6%	blueprint developer-foundations
Developer – Foundations: domains in weight order	Applications and integration 33.1% → Model selection and optimization 16.8% → Agents and workflows 14.7% → Prompt and context engineering 11.0% → Tools and MCPs 10.6% → Security and safety 8.1% → Claude Code 3.1% → Eval, testing, and debugging 2.6%	blueprint developer-foundations
Developer – Foundations: who is it for	Engineers building on the Claude platform	facts developer-foundations
Architect – Foundations: exam code	CCAR-F	facts architect-foundations
Architect – Foundations: how many items	60 items	facts architect-foundations
Architect – Foundations: list fee before partner discount	$125	facts architect-foundations
Architect – Foundations: heaviest domain and its weight	Agentic architecture at 27%	blueprint architect-foundations
Architect – Foundations: lightest domain and its weight	Context and reliability at 15%	blueprint architect-foundations
Architect – Foundations: domains in weight order	Agentic architecture 27% → Claude Code workflows 20% → Prompting, structured output 20% → Tool design and MCP 18% → Context and reliability 15%	blueprint architect-foundations
Architect – Foundations: who is it for	Architects building production systems	facts architect-foundations
Architect – Professional: exam code	CCAR-P	facts architect-professional
Architect – Professional: how many items	63 items	facts architect-professional
Architect – Professional: list fee before partner discount	$175	facts architect-professional
Architect – Professional: heaviest domain and its weight	Integration at 19%	blueprint architect-professional
Architect – Professional: lightest domain and its weight	Developer enablement at 7%	blueprint architect-professional
Architect – Professional: domains in weight order	Integration 19% → Solution design 17% → Evaluation and testing 16% → Governance and risk 14% → Stakeholders, lifecycle 14% → Models and prompting 13% → Developer enablement 7%	blueprint architect-professional
Architect – Professional: who is it for	Architects governing systems at scale	facts architect-professional
Associate – Foundations: Verify anything specific and consequential. Why?	Confidence is not evidence.	rules associate-foundations
Associate – Foundations: Omission fails too. Why?	Read the source, not only the output.	rules associate-foundations
Associate – Foundations: Anonymize, then analyze. Why?	Instructions are not a control.	rules associate-foundations
Associate – Foundations: finish the rule: Match the model to the ...	Match the model to the task in both directions.	rules associate-foundations
Associate – Foundations: finish the rule: Structure beats intensifiers: ...	Structure beats intensifiers: role, sections, constraints, example.	rules associate-foundations
Associate – Foundations: finish the rule: Projects hold what repeats; ...	Projects hold what repeats; prompts hold what changes.	rules associate-foundations
Associate – Foundations: finish the rule: Project knowledge is maintained by you, ...	Project knowledge is maintained by you, not self-updating.	rules associate-foundations
Associate – Foundations: finish the rule: Diagnose what changed ...	Diagnose what changed before rewriting anything.	rules associate-foundations
Associate – Foundations: finish the rule: Escalate system integrations to ...	Escalate system integrations to Developer and Architect scope.	rules associate-foundations
Developer – Foundations: finish the rule: stop_reason drives the loop: ...	stop_reason drives the loop: tool_use executes, end_turn finishes.	rules developer-foundations
Developer – Foundations: finish the rule: Batches for latency-tolerant volume: ...	Batches for latency-tolerant volume: half cost, 24-hour window.	rules developer-foundations
Developer – Foundations: Stable prefix first, then cache it. Why?	Cuts latency and cost together.	rules developer-foundations
Developer – Foundations: finish the rule: Enforce a schema, ...	Enforce a schema, validate, retry with the validation error.	rules developer-foundations
Developer – Foundations: Known path is a workflow. Why?	Unknown path earns an agent.	rules developer-foundations
Developer – Foundations: finish the rule: Subagents exist to isolate context, ...	Subagents exist to isolate context, not to add horsepower.	rules developer-foundations
Developer – Foundations: finish the rule: Pin model versions; ...	Pin model versions; upgrades become evaluated changes.	rules developer-foundations
Developer – Foundations: finish the rule: Injection is defeated structurally, ...	Injection is defeated structurally, never by asking politely.	rules developer-foundations
Developer – Foundations: finish the rule: A tool the agent does not ...	A tool the agent does not hold cannot be misused.	rules developer-foundations
